icb_code,org_code,planning_ref,measure_type,dim_type,fin_year,ref_key,source,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,full_key
QU9,RHW,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,115,139,158,147,138,137,160,145,112,110,110,125,E.B.35DenominatorRHW
QU9,RHW,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRHW
QU9,RHW,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,68.79795396419436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRHW
QU9,RHW,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,66.08695652173913,63.30935251798561,63.92405063291139,65.98639455782312,67.3913043478261,67.88321167883211,69.375,70.34482758620689,70.53571428571429,70,70,70.39999999999999,E.B.35PercentageRHW
QU9,RHW,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,2.7109974424552377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRHW
QRL,RHU,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRHU
QRL,RHU,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,252,269,270,265,283,278,269,284,274,290,287,278,E.B.35NumeratorRHU
QRL,RHU,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRHU
QRL,RHU,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,270.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRHU
QRL,RHU,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,345,356,345,333,350,343,332,348,347,367,357,344,E.B.35DenominatorRHU
QRL,RHU,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,-74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRHU
QRL,RHU,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,67.28280961182995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRHU
QRL,RHU,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,73.04347826086956,75.56179775280899,78.26086956521739,79.57957957957959,80.85714285714286,81.04956268221575,81.02409638554217,81.60919540229885,78.96253602305475,79.01907356948229,80.3921568627451,80.81395348837209,E.B.35PercentageRHU
QRL,RHU,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,-5.760668649039616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRHU
QNX,RXC,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRXC
QNX,RXC,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,146,145,163,134,130,146,160,130,106,128,131,146,E.B.35NumeratorRXC
QNX,RXC,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRXC
QNX,RXC,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRXC
QNX,RXC,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,243,230,250,199,198,230,250,195,158,200,195,208,E.B.35DenominatorRXC
QNX,RXC,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRXC
QNX,RXC,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,62.655601659751035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRXC
QNX,RXC,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,60.08230452674898,63.04347826086957,65.2,67.33668341708542,65.65656565656566,63.47826086956522,64,66.66666666666666,67.08860759493672,64,67.17948717948717,70.1923076923077,E.B.35PercentageRXC
QNX,RXC,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,2.5732971330020575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRXC
QNQ,RDU,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRDU
QNQ,RDU,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,167,184,197,200,184,218,228,250,217,255,242,252,E.B.35NumeratorRDU
QNQ,RDU,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRDU
QNQ,RDU,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRDU
QNQ,RDU,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,235,255,270,270,245,295,300,325,285,335,310,315,E.B.35DenominatorRDU
QNQ,RDU,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRDU
QNQ,RDU,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,73.35526315789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRDU
QNQ,RDU,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,71.06382978723404,72.15686274509804,72.96296296296296,74.07407407407408,75.10204081632654,73.89830508474576,76,76.92307692307693,76.14035087719299,76.11940298507463,78.06451612903226,80,E.B.35PercentageRDU
QNQ,RDU,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,2.291433370660698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRDU
QXU,RTP,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRTP
QXU,RTP,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,222,224,277,241,298,262,266,288,266,270,245,258,E.B.35NumeratorRTP
QXU,RTP,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRTP
QXU,RTP,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,186.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRTP
QXU,RTP,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,317,320,395,344,425,373,380,411,379,385,350,368,E.B.35DenominatorRTP
QXU,RTP,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,-130.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRTP
QXU,RTP,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,73.45844504021449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRTP
QXU,RTP,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,70.03154574132492,70,70.12658227848101,70.05813953488372,70.11764705882354,70.24128686327077,70,70.07299270072993,70.18469656992085,70.12987012987013,70,70.1086956521739,E.B.35PercentageRTP
QXU,RTP,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,3.426899298889566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRTP
QRL,RN5,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,168.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRN5
QRL,RN5,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,172,213,232,226,257,264,251,281,233,243,225,236,E.B.35NumeratorRN5
QRL,RN5,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRN5
QRL,RN5,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,237.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRN5
QRL,RN5,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,229,276,294,279,309,311,295,330,273,285,265,277,E.B.35DenominatorRN5
QRL,RN5,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRN5
QRL,RN5,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,70.94736842105263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRN5
QRL,RN5,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,75.10917030567686,77.17391304347827,78.91156462585033,81.00358422939068,83.1715210355987,84.88745980707395,85.08474576271186,85.15151515151516,85.34798534798534,85.26315789473684,84.90566037735849,85.1985559566787,E.B.35PercentageRN5
QRL,RN5,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,-4.161801884624225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRN5
QXU,RTK,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRTK
QXU,RTK,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,106,101,123,130,130,97,102,117,77,111,133,111,E.B.35NumeratorRTK
QXU,RTK,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRTK
QXU,RTK,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRTK
QXU,RTK,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,126,126,145,147,147,113,119,135,89,130,162,128,E.B.35DenominatorRTK
QXU,RTK,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRTK
QXU,RTK,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,82.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRTK
