icb_code,org_code,dimension_name,source,planning_ref,measure_type,metric_value,ref_key
QXU,RYD,Jun-24,current_actuals,E.B.23c,Count,33169,E.B.23cCount
QXU,RYD,Jun-24,current_actuals,E.B.23c,Mean,30.0001613,E.B.23cMean
QXU,RYD,May-24,current_actuals,E.B.23c,Count,34166,E.B.23cCount
QXU,RYD,May-24,current_actuals,E.B.23c,Mean,25.70693038,E.B.23cMean
QXU,RYD,Nov-24,current_actuals,E.B.23c,Count,35432,E.B.23cCount
QXU,RYD,Nov-24,current_actuals,E.B.23c,Mean,28.45884746,E.B.23cMean
QXU,RYD,Oct-24,current_actuals,E.B.23c,Count,35714,E.B.23cCount
QXU,RYD,Oct-24,current_actuals,E.B.23c,Mean,30.50974034,E.B.23cMean
QXU,RYD,Sep-24,current_actuals,E.B.23c,Count,32672,E.B.23cCount
QXU,RYD,Sep-24,current_actuals,E.B.23c,Mean,29.9227871,E.B.23cMean
Y59,Y59,Apr 2024 - Apr 2024,current_actuals,E.B.23c,Count,58897,E.B.23cCount
Y59,Y59,Apr 2024 - Apr 2024,current_actuals,E.B.23c,Mean,25.4909288,E.B.23cMean
Y59,Y59,Apr 2024 - Aug 2024,current_actuals,E.B.23c,Count,57957,E.B.23cCount
Y59,Y59,Apr 2024 - Aug 2024,current_actuals,E.B.23c,Mean,28.28876868,E.B.23cMean
Y59,Y59,Apr 2024 - Jul 2024,current_actuals,E.B.23c,Count,61310,E.B.23cCount
Y59,Y59,Apr 2024 - Jul 2024,current_actuals,E.B.23c,Mean,36.31021992,E.B.23cMean
Y59,Y59,Apr 2024 - Jun 2024,current_actuals,E.B.23c,Count,59341,E.B.23cCount
Y59,Y59,Apr 2024 - Jun 2024,current_actuals,E.B.23c,Mean,29.97450947,E.B.23cMean
Y59,Y59,Apr 2024 - May 2024,current_actuals,E.B.23c,Count,61285,E.B.23cCount
Y59,Y59,Apr 2024 - May 2024,current_actuals,E.B.23c,Mean,29.27243072,E.B.23cMean
Y59,Y59,Apr 2024 - Nov 2024,current_actuals,E.B.23c,Count,64221,E.B.23cCount
Y59,Y59,Apr 2024 - Nov 2024,current_actuals,E.B.23c,Mean,32.18625138,E.B.23cMean
Y59,Y59,Apr 2024 - Oct 2024,current_actuals,E.B.23c,Count,64509,E.B.23cCount
Y59,Y59,Apr 2024 - Oct 2024,current_actuals,E.B.23c,Mean,33.90953846,E.B.23cMean
Y59,Y59,Apr 2024 - Sep 2024,current_actuals,E.B.23c,Count,59469,E.B.23cCount
Y59,Y59,Apr 2024 - Sep 2024,current_actuals,E.B.23c,Mean,33.75587561,E.B.23cMean
Y59,Y59,Apr-24,current_actuals,E.B.23c,Count,58897,E.B.23cCount
Y59,Y59,Apr-24,current_actuals,E.B.23c,Mean,25.4909288,E.B.23cMean
Y59,Y59,Aug-24,current_actuals,E.B.23c,Count,57957,E.B.23cCount
Y59,Y59,Aug-24,current_actuals,E.B.23c,Mean,28.28876868,E.B.23cMean
Y59,Y59,Jul-24,current_actuals,E.B.23c,Count,61310,E.B.23cCount
