icb_code,org_code,dimension_name,planning_ref,measure_type,ref_key,source,total_var,perc_var
QRL,RYE,Nov-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4000,-0.12716983531506326
QRL,RYE,Nov-24,E.B.23c,Mean,E.B.23cMean,June24_plan,10.10854642,0.37163773602941175
QRL,RYE,Nov-24,E.B.23c,Mean,E.B.23cMean,march24_plan,10.308546419999999,0.38179801555555554
QRL,RYE,Nov-24,E.B.23c,Mean,E.B.23cMean,may24_plan,10.10854642,0.37163773602941175
QRL,RYE,Oct-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4648,-0.14454534146038064
QRL,RYE,Oct-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4648,-0.14454534146038064
QRL,RYE,Oct-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4648,-0.14454534146038064
QRL,RYE,Oct-24,E.B.23c,Mean,E.B.23cMean,June24_plan,8.966235886666663,0.30359715191873576
QRL,RYE,Oct-24,E.B.23c,Mean,E.B.23cMean,march24_plan,8.499569219999998,0.28331897399999995
QRL,RYE,Oct-24,E.B.23c,Mean,E.B.23cMean,may24_plan,8.966235886666663,0.30359715191873576
QRL,RYE,Sep-24,E.B.23c,Count,E.B.23cCount,June24_plan,-5122,-0.1677858944540898
QRL,RYE,Sep-24,E.B.23c,Count,E.B.23cCount,march24_plan,-5122,-0.1677858944540898
QRL,RYE,Sep-24,E.B.23c,Count,E.B.23cCount,may24_plan,-5122,-0.1677858944540898
QRL,RYE,Sep-24,E.B.23c,Mean,E.B.23cMean,June24_plan,8.562891816666667,0.28229313681318685
QRL,RYE,Sep-24,E.B.23c,Mean,E.B.23cMean,march24_plan,8.89622515,0.29654083833333333
QRL,RYE,Sep-24,E.B.23c,Mean,E.B.23cMean,may24_plan,8.562891816666667,0.28229313681318685
QXU,RYD,Apr-24,E.B.23c,Count,E.B.23cCount,June24_plan,-5393,-0.14208182943857522
QXU,RYD,Apr-24,E.B.23c,Count,E.B.23cCount,march24_plan,-5393,-0.14208182943857522
QXU,RYD,Apr-24,E.B.23c,Count,E.B.23cCount,may24_plan,-5393,-0.14208182943857522
QXU,RYD,Apr-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-4.086867909999999,-0.14595956821428566
QXU,RYD,Apr-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-4.086867909999999,-0.14595956821428566
